location,total_cases,reproduction_rate,gdp_per_capita,population
New Zealand,532560.6097122302,0.8945767716535433,36085.84,5185289.0
Fiji,34018.163003663,0.9583116883116884,8702.98,929769.0
Tonga,10109.786852589641,0.5078947368421053,5425.62,106867.0
Kiribati,3383.5344418052255,0.25252199413489734,1981.13,131237.0
South Africa,2383222.3221719456,1.0224019607843136,12294.88,59893884.0
Morocco,729756.3038773669,1.0310826771653543,7485.01,37457976.0
Tanzania,18876.840950639853,0.16175757575757574,2683.3,65497752.0
Mauritius,100994.1978021978,0.5482755203171458,20292.74,1299478.0
Uganda,96145.19375573921,0.8094644696189496,1697.71,47249588.0
Germany,11963280.367609255,1.0975409836065575,45229.24,83369840.0
France,13712616.372275501,1.0890173410404624,38605.67,67813000.0
Italy,8948629.633099824,1.0682854406130269,35220.08,59037472.0
Spain,6196881.732758621,1.1482722007722006,34272.36,47558632.0
United Kingdom,10753430.561018437,1.0565444015444014,39753.24,67508936.0
India,25727049.234881684,1.035478515625,6426.67,1417173120.0
Malaysia,2095531.15720524,1.0442079689018464,26808.16,33938216.0
China,8250337.137103684,1.0477509293680298,15308.71,1425887360.0
Japan,6484772.689714779,1.077189292543021,39002.22,123951696.0
Singapore,640633.6713164778,1.0519364161849711,85535.38,5637022.0
United States,46622735.01650739,1.0809381044487427,54225.45,338289856.0
Mexico,3624873.672629696,1.0249901960784313,17336.47,127504120.0
Canada,1981617.8288209606,1.052,44017.59,38454328.0
Brazil,19161891.22102426,1.0905560975609756,14103.45,215313504.0
Argentina,5181192.100361664,0.969852652259332,18933.91,45510324.0
Peru,2281536.424818841,1.0810088148873653,12236.71,34049588.0
Colombia,3848266.956442831,0.9652254901960784,13254.95,51874028.0
Paraguay,391261.71778584394,0.8421834496510469,8827.01,6780745.0
